Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
1053,21,0.443,0.476,0.364,0.148,0.07299999999999998,6.986,2.65,2.577,2.281,7.465,2.696,2.785,2.359,2.051,7.739,3.186,1.491,3.253,3.444,7.016,4.169,1.905,1.024,5.652,7.087,1.534,0.558,1.209,1.015,0.161,5.817,1.506,2.136,3.24,7.652,11.973,2.549,5.01,12.335,2.878,2.237,2.66,2.105,2.116,7.442999999999999,1.832,1.584,1.013,1.525,7.94,10.475,3.612,0.68,7.83,3.806,2.304,1.676,1.545,2.906,7.308,1.621,1.518,3.098,6.885,0.979,1.999,2.514,3.187,1.614,0.288,4.384,2.037,2.664,6.488,6.338,2.689,1.097,0.603,6.677,6.371,0.873,0.393,0.536,0.282,0.094,4.41,2.991,3.836,4.32,7.127,4.857,1.573,2.894,4.197,7.004,7.746,7.235,5.344,3.004,7.325,1.548,6.693,0.635,0.747,0.195,8.009,1.816,3.933,8.005,3.26,2.349,1.368,1.692,1.776,7.450999999999999,3.861,2.714,3.576,5.307,6.603,3.695,2.934,1.896,2.345,7.695999999999999,2.836,2.923,2.179,2.561,7.655,2.528,1.549,2.292,2.332,7.945999999999999,0.341,0.741,0.174,0.079,0.025,0.501,0.685,0.865,1.108,0.25,10.533,1.681,2.675,8.122,5.962,9.006999999999998,2.809,2.769,5.484,6.163,3.889,0.72,2.24,1.848,7.562
1054,21,0.422,0.39,0.364,0.119,0.061,6.18,2.068,2.149,2.494,7.251999999999998,2.684,2.556,2.749,1.89,7.981,2.508,1.566,3.363,3.208,7.047,5.476,1.193,1.292,5.231,7.178,1.708,0.585,1.364,1.068,0.166,3.213,0.938,2.277,2.877,7.644,13.116,2.561,4.381,12.974,2.894,2.579,3.067,2.469,2.118,7.753999999999999,2.271,2.109,1.414,1.67,8.022,11.426,3.232,0.679,8.378,3.597,2.314,1.767,2.003,2.991,7.501,2.047,1.147,2.982,6.917,0.949,1.73,1.844,2.245,1.55,0.249,5.547,2.733,2.9,7.258,5.913,3.318,1.731,0.937,6.533,6.277,0.535,0.697,0.458,0.316,0.07499999999999998,3.482,2.551,3.978,4.874,7.004,3.932,1.282,3.308,4.731,6.912,6.581,4.371,4.637,3.083,7.429999999999999,1.57,5.01,0.639,0.744,0.192,7.892999999999998,1.907,4.244,8.397,3.092,2.099,1.423,1.826,2.052,7.283,3.001,2.659,3.616,5.78,6.755,3.964,3.254,2.009,2.358,7.61,3.357,3.747,1.79,2.891,7.567999999999999,4.572,1.962,1.917,2.179,7.839,0.333,0.559,0.21,0.079,0.028,0.495,0.497,0.76,1.051,0.222,11.368,1.607,3.413,8.481999999999998,5.776,8.663,2.679,2.719,6.609,6.015,4.139,0.873,1.787,1.862,7.412
1055,21,0.329,0.275,0.355,0.08999999999999998,0.051,3.602,1.276,1.93,2.619,7.343,2.25,1.786,2.063,1.752,8.151,2.17,1.141,2.341,2.962,7.129,7.364,1.442,2.181,5.031,7.117,1.396,0.494,1.26,1.032,0.158,2.705,0.8189999999999998,2.439,2.493,7.538999999999999,13.179,1.986,3.611,13.068,2.87,2.307,2.5,2.019,1.917,8.079,2.326,2.417,1.662,1.635,8.293,9.487,2.286,0.92,9.189,3.409,3.152,1.476,2.071,3.041,7.421999999999999,2.008,1.118,3.421,7.626,0.8359999999999999,1.429,1.525,1.584,1.645,0.247,7.367,2.776,2.3,8.441,5.425,4.529,2.475,1.112,6.893,6.044,0.329,1.369,0.357,0.397,0.07299999999999998,2.61,2.535,3.107,4.87,7.242,3.331,2.096,3.006,4.489,7.063,5.139,2.344,3.685,2.867,7.472,1.32,3.545,0.8329999999999999,0.7259999999999999,0.187,7.413,2.123,5.172,9.154000000000002,2.89,2.149,1.971,1.937,2.233,7.455,3.149,2.876,2.532,5.491,7.058,5.047,2.921,1.599,2.692,7.346,3.803,3.39,1.376,3.367,7.48,5.77,1.671,1.21,2.356,7.66,0.435,0.362,0.366,0.08699999999999998,0.032,0.515,0.284,0.968,1.081,0.195,11.232,1.379,3.033,8.743,5.677,6.074,2.293,2.26,7.172,5.993,3.31,1.119,1.49,2.08,7.258
1056,21,0.291,0.227,0.298,0.083,0.044,1.744,0.8289999999999998,2.004,2.505,7.673,1.594,1.216,1.209,1.965,8.022999999999998,2.198,0.63,1.271,2.904,7.148,8.958999999999998,2.01,2.618,5.195,6.959,0.8169999999999998,0.344,1.05,1.069,0.168,4.6,0.928,2.334,2.428,7.522999999999999,12.914,1.408,3.127,12.911,2.809,1.706,1.641,1.25,1.828,8.136,1.816,2.356,1.388,1.402,8.49,6.539,2.044,1.123,9.507,3.407,3.618,1.108,1.537,2.961,7.229,1.603,1.461,3.837,8.419,0.776,1.361,2.363,1.452,1.932,0.32,8.829,2.317,1.711,9.219,5.173,6.65,2.968,0.856,7.005,5.917,0.319,1.897,0.351,0.415,0.076,2.42,3.418,2.231,4.391,7.557,4.117,4.086,2.464,3.782,7.271,5.688,2.371,2.932,2.561,7.448,1.231,4.332,1.103,0.767,0.18,5.788,2.601,5.421,9.686000000000002,2.799,2.863,2.325,1.829,2.109,7.739,3.94,2.928,1.438,4.795,7.317,5.397,2.329,1.118,3.144,7.122,3.311,2.275,1.212,3.582,7.472,4.863,1.131,0.8189999999999998,2.65,7.596,0.531,0.414,0.481,0.098,0.035,0.477,0.227,1.484,1.07,0.228,9.866,1.578,1.968,8.612,5.785,3.88,1.851,1.86,6.888,6.019,2.088,1.199,1.512,2.46,7.196
1057,21,0.295,0.191,0.211,0.1,0.035,2.213,0.8409999999999999,2.249,2.247,7.902999999999999,1.324,1.443,1.285,2.478,7.658,2.654,0.499,1.21,3.124,7.003,9.988,2.028,2.048,5.69,6.773,0.377,0.289,1.03,1.103,0.192,6.084,1.351,2.337,2.893,7.508,12.665,1.898,2.892,12.936,2.775,1.513,1.216,1.15,2.041,7.771,1.351,1.994,0.911,1.202,8.397999999999998,5.103,4.212,1.37,8.995,3.495,3.286,1.542,1.08,2.843,7.105,1.26,2.72,3.989,8.605,0.8399999999999999,1.505,6.164,1.771,1.97,0.401,8.114,3.665,2.05,8.84,5.247,8.56,4.454,0.617,6.498,5.978,0.336,2.208,0.435,0.374,0.07499999999999998,2.969,5.267,2.144,3.961,7.614,5.449,7.002,2.534,3.541,7.245,8.173,3.625,2.389,2.457,7.404,1.079,6.811,1.324,0.949,0.188,4.053,3.265,4.101,10.123,2.763,3.538,2.193,1.592,1.763,7.767,4.801,3.238,1.396,4.638,7.256999999999999,4.185,1.958,0.918,3.411,7.146,2.683,1.398,1.238,3.34,7.497,3.476,1.015,0.925,2.765,7.636999999999999,0.465,0.583,0.408,0.119,0.039,0.497,0.26,1.834,1.075,0.323,8.542,2.491,1.186,8.572,5.907,3.811,1.792,1.891,6.193,5.99,1.784,1.056,1.755,2.805,7.193
1058,21,0.283,0.126,0.218,0.144,0.032,4.283,1.055,2.27,2.085,7.836999999999998,1.778,2.051,2.048,2.804,7.458999999999999,3.508,0.609,1.877,3.36,6.759,9.762,1.608,1.186,6.272,6.603,0.221,0.427,1.207,1.199,0.205,5.127,1.978,2.612,3.65,7.418,12.269,3.202,2.974,13.567,2.773,1.764,1.146,1.958,2.376,7.301,1.366,1.686,0.741,1.275,8.067,5.252,7.700999999999999,1.936,8.217,3.567,3.096,2.543,1.288,2.724,7.081,1.079,4.538,4.374,8.487999999999998,0.939,1.829,11.463,2.338,1.715,0.401,5.862,7.201,2.697,8.051,5.417,8.714,7.397999999999999,0.93,6.035,6.062,0.301,2.691,0.49,0.371,0.08,4.127,7.185,2.8,4.027,7.259999999999998,6.002,9.523,3.239,4.002,6.967,9.288,5.833,2.07,2.755,7.272999999999999,0.695,9.9,1.388,1.169,0.218,3.887,4.157,2.501,10.367,2.705,3.091,2.407,1.683,1.626,7.479,5.306,4.606,2.442,4.98,6.879,2.856,1.857,1.202,3.256,7.367,3.272,1.371,1.432,2.888,7.423,3.213,1.383,1.239,2.595,7.65,0.332,0.735,0.262,0.149,0.054,0.719,0.471,1.635,1.195,0.411,6.97,3.499,1.375,8.659,5.915,5.709,1.94,2.327,6.072,5.816,3.155,0.8169999999999998,1.927,2.82,7.189
1059,21,0.246,0.069,0.319,0.185,0.038,5.558,1.255,2.013,2.268,7.538,2.33,2.244,2.392,2.536,7.705,4.103,0.712,2.305,3.225,6.593,8.826,1.452,0.879,6.441,6.51,0.223,0.659,1.364,1.401,0.214,2.922,2.007,2.702,3.973,7.368,11.572,4.28,3.455,14.008,2.817,1.91,1.272,2.829,2.499,7.195,1.808,1.705,1.004,1.621,7.838,6.25,8.776,2.618,8.109,3.603,3.388,2.995,1.866,2.646,7.085,1.156,5.227,5.298,8.258,0.936,2.155,13.357,2.649,1.598,0.321,4.429,9.309,2.739,7.988,5.453,7.476,9.435,1.649,6.449,5.97,0.378,3.603,0.449,0.429,0.098,5.432,7.912,3.272,4.357,6.799,5.91,9.643,3.467,4.441,6.762,6.922,8.124,2.148,3.19,7.094,0.693,12.737,1.312,1.196,0.256,4.4,5.109,2.293,10.472,2.642,1.957,3.05,2.317,1.87,7.114,4.933,5.739,3.281,5.046,6.613,2.087,2.041,1.658,2.818,7.534,4.862,2.139,1.564,2.757,7.237,3.707,1.994,1.474,2.435,7.583999999999999,0.316,0.946,0.215,0.162,0.07,1.044,0.935,1.21,1.403,0.424,5.283,3.944,2.414,8.543,5.833,8.000999999999998,1.95,2.781,6.814,5.662,4.796,0.65,1.792,2.476,7.124
1060,21,0.249,0.07,0.373,0.182,0.045,4.613,1.282,1.725,2.668,7.275,2.144,1.905,1.812,1.892,8.170999999999998,3.857,0.892,2.082,2.827,6.656,8.481,1.879,1.476,6.11,6.533,0.25,0.793,1.364,1.481,0.238,1.924,1.581,2.62,3.464,7.447,11.335,4.578,4.039,13.507,2.872,1.789,1.357,2.868,2.294,7.511999999999999,2.118,1.822,1.486,1.899,7.948,7.415,6.409,2.946,8.731999999999998,3.618,3.697,2.733,2.343,2.75,7.06,1.458,4.311,5.886,8.397,0.8169999999999998,2.064,10.03,2.51,1.817,0.232,4.69,7.606,2.173,8.54,5.38,6.666,8.441,2.149,7.34,5.812,0.593,4.402,0.362,0.449,0.119,6.036,6.907,2.78,4.437,6.729,6.005,7.336,2.759,4.374,6.843,3.593,8.541,2.882,3.187,7.075,1.294,13.075,1.316,1.041,0.292,4.439,5.157,3.567,10.364,2.696,1.148,3.237,3.171,2.115,6.999,4.164,5.57,2.824,4.802,6.717,1.924,2.429,1.665,2.504,7.535,5.942,2.88,1.457,3.147,7.075,4.159,2.398,1.499,2.525,7.482,0.418,1.111,0.266,0.152,0.07499999999999998,1.183,1.289,1.076,1.541,0.38,5.267,3.901,3.263,8.154,5.717,8.351,2.069,2.666,7.336,5.865,4.651,0.772,1.499,2.064,7.088
1061,21,0.315,0.104,0.298,0.147,0.046,2.67,1.142,1.664,2.85,7.314,1.613,1.503,0.9990000000000001,1.528,8.351,3.451,1.232,1.722,2.753,6.856,8.201,2.373,2.509,5.845,6.612,0.322,0.697,1.153,1.32,0.252,3.121,1.712,2.653,2.775,7.591,12.578,4.214,4.061,13.134,2.805,1.802,1.487,2.22,1.997,7.785999999999999,1.892,1.759,1.83,1.771,8.227,7.926999999999999,3.853,2.78,9.566,3.649,3.959,2.664,2.545,2.98,6.949,1.718,3.216,5.217,9.179,0.7,1.513,5.408,2.227,2.138,0.21,5.741,4.672,1.803,8.92,5.356,6.826,6.147,2.148,7.948,5.778,0.717,4.222,0.35,0.358,0.117,5.999,5.09,1.678,4.164,7.074,6.698,5.186,1.987,3.995,7.053,2.449,7.062,3.93,2.591,7.219999999999998,1.754,9.874,1.51,0.974,0.324,4.976,3.789,5.131,10.065,2.89,1.311,2.919,3.517,1.993,7.208999999999999,3.879,5.169,1.712,4.68,6.963,2.366,2.514,1.278,2.443,7.415,5.529,2.641,1.373,3.542,7.053,4.424,2.16,1.433,2.597,7.449,0.583,1.009,0.384,0.14,0.07499999999999998,1.016,1.162,1.155,1.398,0.315,6.697,3.622,3.006,7.804,5.639,6.187,2.215,1.92,6.769,6.299,2.875,1.106,1.448,1.853,7.213
1062,21,0.367,0.129,0.165,0.108,0.039,1.97,1.234,2.008,2.705,7.543999999999999,1.604,1.353,0.966,1.722,8.076,4.134,1.428,1.983,3.187,6.929,6.736,2.325,2.851,5.976,6.689,0.403,0.458,0.908,1.15,0.23,5.35,2.158,2.446,2.675,7.687,14.554,3.476,3.517,13.635,2.665,2.106,1.705,1.651,1.988,7.636999999999999,1.509,1.665,1.83,1.344,8.293,7.519,4.321,2.269,10.226,3.659,4.15,3.117,2.458,3.211,6.758,1.634,2.85,4.164,10.111,0.676,0.936,3.577,2.086,2.323,0.293,6.496,4.473,1.994,8.784,5.467,7.016,5.172,1.946,8.070999999999998,5.858,0.661,2.907,0.387,0.206,0.08899999999999998,5.819,3.621,0.954,3.865,7.36,7.589,4.552,1.84,3.75,7.117,4.225,5.644,4.327,2.02,7.352999999999998,1.593,5.5,1.585,1.096,0.325,7.472,1.832,5.41,10.073,2.97,2.039,2.557,2.952,1.709,7.503999999999999,4.584,4.948,1.177,4.705,7.034,3.467,2.15,1.145,2.498,7.214,4.062,1.536,1.642,3.411,7.238,4.322,1.453,1.557,2.452,7.566,0.692,0.729,0.523,0.138,0.08699999999999998,0.715,0.72,1.091,1.03,0.243,7.439,3.561,1.967,7.958999999999999,5.627,4.337,2.079,1.321,5.648,6.438,1.603,1.247,1.775,1.914,7.394999999999999
1063,21,0.31,0.137,0.1,0.078,0.027,3.318,1.759,2.381,2.545,7.638,2.04,1.474,2.01,2.123,7.743999999999998,5.461,1.28,2.869,3.577,6.822,4.883,1.694,2.135,6.062,6.823,0.43,0.277,0.93,1.201,0.206,6.441,1.935,1.907,2.996,7.666,15.303,2.726,2.994,14.113,2.709,2.397,1.918,1.777,2.35,7.253,1.631,2.061,1.774,1.135,8.059,6.471,6.801,1.716,10.509,3.561,3.762,3.501,2.409,3.283,6.741,1.489,2.863,3.928,10.631,0.701,0.749,4.575,2.133,2.365,0.413,7.111,7.211,2.403,8.506,5.641,6.154,5.274,1.809,7.546999999999999,6.053,0.707,1.478,0.403,0.131,0.067,5.807,3.33,1.402,3.918,7.264999999999999,7.622,4.607,2.308,3.957,6.935,8.388999999999998,5.382,3.935,1.988,7.338,1.229,3.122,1.493,1.206,0.281,9.684,0.778,4.197,10.364,2.782,2.524,2.51,2.049,1.66,7.551999999999999,5.684,4.621,1.636,4.793,6.864,4.179,1.746,1.41,2.57,7.094,3.045,0.615,2.106,2.89,7.551999999999999,4.013,1.035,1.917,2.254,7.759,0.625,0.567,0.547,0.166,0.104,0.451,0.39,0.938,0.864,0.198,6.382,3.796,1.273,8.544,5.66,5.396,2.177,1.454,5.137,6.15,2.298,1.038,2.076,2.103,7.428
1064,21,0.187,0.131,0.122,0.061,0.02,5.53,2.078,2.2,2.575,7.498,2.197,1.89,3.435,2.255,7.747,5.352,1.095,3.589,3.424,6.771,4.443,1.106,1.292,5.682,7.026,0.406,0.276,1.269,1.324,0.204,5.481,1.213,1.699,3.094,7.594999999999998,14.803,2.107,2.86,13.832,2.958,2.477,1.922,2.643,2.668,7.131,2.364,2.972,1.952,1.408,7.809999999999999,5.164,7.947,1.3,10.347,3.38,2.824,3.208,2.703,3.057,7.079,1.463,3.186,4.648,10.565,0.706,0.899,6.387,2.457,2.258,0.453,7.472,9.352,2.54,8.252,5.743,4.787,5.377,1.708,6.376,6.347,1.143,1.099,0.478,0.197,0.076,5.679,4.004,2.673,4.407,6.982,6.228,4.781,3.125,4.539,6.717,11.997,5.326,3.713,2.453,7.189,1.288,3.559,1.763,1.326,0.223,8.881,0.941,3.024,10.482,2.532,2.512,2.793,1.679,1.862,7.32,6.004,4.341,2.673,4.955,6.664,3.908,1.533,1.699,2.592,7.205,3.991,0.541,2.218,2.506,7.742,4.64,1.14,2.147,2.122,7.825999999999999,0.462,0.567,0.411,0.243,0.11,0.294,0.301,1.037,1.141,0.2,4.592,3.718,1.555,9.117,5.63,7.493999999999998,2.673,1.965,5.754,5.777,3.954,0.778,2.006,2.231,7.309999999999999
1065,21,0.13,0.117,0.167,0.069,0.023,6.23,1.701,1.83,2.799,7.285,1.918,2.272,4.018,1.954,7.985,3.607,1.052,3.436,2.833,6.945,5.531,1.137,1.311,5.084,7.127,0.39,0.439,1.508,1.292,0.201,3.6,0.879,2.076,2.794,7.601,14.916,1.54,2.807,13.263,3.114,2.32,1.687,3.493,2.446,7.447,3.003,3.712,2.3,1.875,7.820999999999999,4.273,6.453,1.12,9.976,3.334,2.798,2.101,2.701,2.625,7.527,1.454,3.402,5.671,10.172,0.7239999999999999,1.02,7.351,2.901,2.056,0.399,7.61,8.359999999999998,2.23,7.886999999999999,5.745,4.929,5.372,1.602,5.304,6.537,1.534,1.618,0.625,0.326,0.096,5.034,4.444,3.302,4.895,6.865,4.3,4.939,3.351,4.846,6.783,11.619,4.434,3.839,2.983,7.073,1.581,5.673,2.33,1.574,0.193,6.031,1.574,2.896,10.271,2.554,2.095,3.187,2.01,2.18,7.073,4.983,4.036,3.177,4.94,6.728,3.703,1.292,1.676,2.49,7.441,6.689,0.8319999999999999,1.832,2.528,7.666,6.184,1.262,1.942,2.074,7.711,0.393,0.576,0.236,0.296,0.099,0.314,0.387,1.313,1.511,0.229,4.002,3.071,2.429,9.371,5.489,7.660999999999999,3.025,2.674,6.857,5.6,4.769,0.7219999999999999,1.755,2.248,7.144
1066,21,0.134,0.123,0.221,0.085,0.03,4.588,0.988,1.96,3.067,7.15,1.455,2.121,3.265,1.537,8.086999999999998,2.068,0.889,2.577,2.373,7.211,7.008,1.595,2.172,4.858,6.996,0.479,0.542,1.324,1.185,0.2,3.14,1.339,2.593,2.49,7.63,16.167,1.107,2.454,13.053,2.995,1.92,1.282,3.307,1.843,7.78,2.98,3.596,2.447,2.077,8.053,4.657,4.378,1.448,9.527,3.518,4.021,0.959,1.914,2.382,7.678,1.614,2.92,5.87,9.922,0.8249999999999998,1.014,6.723,2.945,1.888,0.311,7.240999999999999,5.584,1.718,7.7,5.667,8.019999999999998,4.98,1.625,5.257,6.407,1.312,2.081,0.681,0.418,0.094,4.067,4.225,2.651,4.881,6.981,2.886,4.654,2.471,4.42,7.104,8.073,3.443,3.609,3.053,7.176,1.626,7.841,2.402,1.745,0.195,4.015,1.983,3.201,9.768,2.905,1.798,3.137,2.561,2.417,7.065,3.704,3.225,2.482,4.619,7.028,4.652,1.127,1.331,2.411,7.482999999999999,8.067999999999998,0.963,1.466,2.917,7.436,6.822,1.347,1.564,2.333,7.503,0.471,0.619,0.133,0.271,0.08,0.53,0.553,1.4,1.561,0.259,5.227,2.604,2.921,9.509,5.33,5.486,2.778,3.502,7.572,5.581,4.206,0.943,1.669,2.263,7.021
1067,21,0.13,0.156,0.301,0.08899999999999998,0.042,2.698,0.74,2.464,3.076,7.148,1.086,1.512,2.073,1.453,7.897,1.819,0.537,1.801,2.501,7.251999999999998,7.66,1.947,2.915,5.249,6.759,0.638,0.452,0.934,1.277,0.239,4.816,2.15,2.762,2.65,7.553,16.382,1.076,1.944,13.361,2.778,1.572,0.931,2.253,1.528,7.639999999999999,2.553,2.624,2.078,1.949,8.269999999999998,5.511,4.217,2.196,9.047,3.691,4.908,0.687,1.133,2.628,7.432,2.009,2.13,4.855,10.049,0.983,0.927,4.892,2.452,1.785,0.233,6.392,3.903,1.354,7.958999999999999,5.566,11.403,3.996,1.548,6.06,6.132,0.707,2.18,0.573,0.432,0.084,3.646,3.777,1.72,4.341,7.154,2.642,3.92,1.527,3.766,7.253,5.816,4.369,3.055,2.745,7.349999999999999,1.504,10.584,1.864,1.711,0.218,4.494,2.217,3.167,9.156,3.232,1.864,2.414,2.586,2.398,7.267,3.617,2.496,1.499,4.373,7.16,5.533,1.524,1.092,2.607,7.264,6.378,0.971,1.461,3.33,7.227999999999998,5.284,1.573,1.345,2.835,7.33,0.604,0.922,0.119,0.22,0.068,0.709,0.685,1.236,1.361,0.275,7.097,3.043,2.433,9.858,5.238,3.168,2.056,3.819,7.65,5.548,3.285,1.232,1.849,2.388,7.052
1068,21,0.181,0.168,0.363,0.083,0.061,2.619,1.05,2.62,2.656,7.243999999999998,0.962,1.14,1.685,1.797,7.564,2.053,0.365,1.643,3.06,6.99,6.819,1.782,2.56,5.953,6.613,0.665,0.307,0.765,1.522,0.299,6.502,2.52,2.564,3.225,7.373,13.281,1.436,1.745,13.808,2.712,1.465,1.001,1.465,1.758,7.158,2.146,1.503,1.376,1.746,8.295999999999998,6.381,5.563,2.978,8.813,3.617,4.073,1.103,1.074,3.131,7.052,2.232,1.793,3.632,10.119,1.047,0.81,3.412,2.043,1.715,0.214,5.784,4.014,1.279,8.271,5.553,11.382,3.43,1.343,6.788,6.061,0.397,2.6,0.521,0.4,0.101,3.674,3.701,1.481,3.719,7.188,3.634,3.713,1.556,3.606,6.978,6.723,7.745,2.943,2.629,7.247,1.491,15.895,1.602,1.669,0.244,6.244,3.106,3.045,8.724999999999998,3.212,2.088,2.139,2.142,2.282,7.347,4.785,2.419,1.496,4.505,6.877,4.653,2.264,1.312,2.892,7.046,3.802,1.219,1.759,3.307,7.176,3.061,1.709,1.354,3.086,7.325999999999999,0.639,1.536,0.175,0.199,0.068,0.784,0.701,1.056,1.208,0.254,8.098,3.882,1.731,10.218,5.237,2.629,1.413,3.42,7.323,5.438,2.742,1.274,2.165,2.507,7.272999999999999
1069,21,0.34,0.146,0.329,0.07299999999999998,0.072,3.674,1.45,2.267,2.218,7.325999999999999,1.143,1.304,2.156,2.111,7.445,1.995,0.609,2.037,3.37,6.706,5.23,1.224,1.493,6.395,6.591,0.541,0.283,0.8139999999999998,1.602,0.32,5.416,2.015,2.295,3.64,7.223,7.371,1.795,1.789,13.815,2.794,1.446,1.483,1.579,2.15,6.864,1.807,1.009,1.003,1.703,8.138,7.988,6.559,3.201,9.153,3.366,2.662,1.578,1.463,3.403,6.858,2.14,1.912,3.246,9.85,0.942,0.909,3.873,1.998,1.722,0.279,5.685,5.885,1.281,8.361,5.565,8.484999999999998,5.254,1.713,6.934,6.194,0.53,3.533,0.548,0.398,0.128,3.212,4.545,1.809,3.39,7.037,4.449,4.728,2.155,3.911,6.594,7.764,11.622,3.558,2.86,6.906,1.556,21.598,1.944,1.709,0.248,7.34,4.816,3.497,8.756,2.978,2.426,3.153,2.161,2.371,7.165,5.986,3.224,2.424,4.749,6.446,3.32,3.098,1.894,2.907,7.023,3.611,1.925,2.092,2.853,7.25,2.509,1.641,1.482,2.916,7.44,0.491,1.964,0.227,0.183,0.069,0.883,0.649,1.016,1.117,0.212,8.117,4.457,2.226,9.991,5.338,3.696,1.556,3.02,6.929,5.379,2.358,1.149,2.279,2.387,7.473
1070,21,0.455,0.14,0.256,0.059,0.059,3.873,1.585,1.926,2.354,7.274,1.285,1.622,2.51,2.011,7.654,1.913,1.092,2.397,3.167,6.648,4.251,0.972,1.351,6.191,6.648,0.404,0.357,0.906,1.51,0.3,2.646,1.227,2.434,3.48,7.145,4.069,2.006,2.127,13.381,2.867,1.319,1.893,2.113,2.275,6.99,1.491,1.151,1.335,1.852,8.005,9.282,6.287,2.872,9.575,3.251,2.287,1.884,1.849,3.226,6.888,2.245,2.313,3.781,9.489,0.8459999999999999,1.337,6.727,2.284,1.933,0.359,5.781,8.91,1.261,8.624,5.477,6.131,9.127,2.526,6.775,6.196,0.699,5.067,0.503,0.524,0.131,3.192,6.428,2.45,3.471,6.826,4.245,6.601,2.4,4.194,6.481,6.447,13.789,4.267,3.027,6.699,1.461,24.631,2.423,1.687,0.233,6.413,6.213,4.039,9.093000000000002,2.884,3.397,4.646,2.828,2.593,6.939,5.976,4.598,2.984,4.815,6.275,4.214,3.826,2.248,2.675,7.115,5.563,2.722,2.161,2.673,7.264999999999999,4.163,1.544,1.521,2.709,7.458999999999999,0.312,1.888,0.281,0.157,0.059,0.953,0.614,1.013,0.924,0.183,7.776,4.24,3.497,9.046,5.526,5.262,2.436,3.066,6.82,5.483,2.055,1.223,2.268,2.16,7.347
1071,21,0.392,0.18,0.243,0.043,0.036,2.829,1.376,1.852,2.93,7.127,1.192,1.672,2.125,1.689,7.865,2.637,1.399,2.309,2.964,6.715,4.121,1.286,2.49,5.656,6.71,0.311,0.436,0.972,1.415,0.298,2.23,0.8459999999999999,2.911,3.039,7.123,5.245,2.114,2.534,12.946,2.859,1.473,2.108,2.272,2.136,7.16,1.557,1.466,2.076,1.994,7.985999999999998,8.965,5.025,2.555,9.571,3.438,2.858,2.173,2.065,2.893,6.927,2.526,2.821,4.593,8.874,0.902,1.942,10.17,2.749,2.381,0.392,6.274,10.54,1.2,8.958999999999998,5.411,5.377,11.905,2.635,6.974,5.881,0.735,7.574,0.378,0.754,0.124,3.959,8.293,2.914,3.844,6.727,4.056,8.82,1.953,4.231,6.58,4.715,14.384,4.477,2.94,6.723,1.431,27.316,2.395,1.601,0.235,5.34,7.136,4.43,9.824,2.975,5.241,5.646,3.401,2.648,6.949,4.634,5.518,2.341,4.805,6.411,6.385,4.129,2.013,2.541,7.19,6.955,2.945,2.019,3.17,7.105,5.887,1.508,1.387,2.719,7.356,0.307,1.788,0.485,0.165,0.046,0.8229999999999998,0.574,1.007,0.72,0.174,8.564999999999998,3.188,3.875,8.497,5.618,5.973,3.111,3.171,6.98,5.67,1.852,1.464,2.619,2.245,6.955
